##drops=0,overflows=0,time_per_sample=0.000305609,start_range=0.000059,end_range=0.000029
#time,accel_x,accel_y,accel_z
355.073227,9885.103200,0.000000,0.000000
355.073533,10355.822400,3216.581200,2981.221600
355.073839,10277.369200,3216.581200,2667.408800
355.074144,10198.916000,2981.221600,2510.502400
355.074450,10042.009600,2745.862000,2510.502400
355.074755,10198.916000,2196.689600,2588.955600
355.075061,10277.369200,2275.142800,2824.315200
355.075367,10042.009600,1569.064000,2902.768400
355.075672,9963.556400,1098.344800,3295.034400
355.075978,10042.009600,1412.157600,3608.847200
355.076283,10355.822400,1961.330000,3765.753600
355.076589,10983.448000,2118.236400,3844.206800
355.076895,10512.728800,3138.128000,3608.847200
355.077200,10591.182000,3451.940800,3373.487600
355.077506,10198.916000,3451.940800,3216.581200
355.077811,10434.275600,3059.674800,3216.581200
355.078117,10277.369200,2510.502400,3765.753600
355.078423,9963.556400,1961.330000,4079.566400
355.078728,10042.009600,1333.704400,4079.566400
355.079034,10120.462800,1176.798000,4314.926000
355.079340,10120.462800,1412.157600,4158.019600
355.079645,10042.009600,2510.502400,4236.472800
355.079951,10120.462800,2824.315200,3765.753600
355.080256,10042.009600,3295.034400,3451.940800
355.080562,10120.462800,3687.300400,3216.581200
355.080868,10042.009600,3608.847200,3059.674800
355.081173,10042.009600,2667.408800,3373.487600
355.081479,10277.369200,2196.689600,3295.034400
355.081784,9806.650000,1804.423600,3765.753600
355.082090,9885.103200,1569.064000,3608.847200
355.082396,10120.462800,1490.610800,4158.019600
355.082701,9963.556400,2039.783200,3922.660000
355.083007,10591.182000,1804.423600,3765.753600
355.083312,10042.009600,2745.862000,3216.581200
355.083618,9885.103200,3216.581200,2981.221600
355.083924,10198.916000,3765.753600,2824.315200
355.084229,10355.822400,2824.315200,3059.674800
355.084535,10042.009600,2275.142800,3765.753600
355.084840,10042.009600,2432.049200,3295.034400
355.085146,9963.556400,1961.330000,3295.034400
355.085452,9963.556400,1725.970400,3216.581200
355.085757,9885.103200,1961.330000,2824.315200
355.086063,9885.103200,2196.689600,2196.689600
355.086369,10042.009600,2196.689600,1961.330000
355.086674,10042.009600,2510.502400,1804.423600
355.086980,9414.384000,2902.768400,1882.876800
355.087285,10591.182000,2196.689600,2118.236400
355.087591,10198.916000,2432.049200,1490.610800
355.087897,10277.369200,2353.596000,2588.955600
355.088202,10434.275600,2118.236400,2510.502400
355.088508,9963.556400,2118.236400,2353.596000
355.088813,10669.635200,2510.502400,2510.502400
355.089119,10355.822400,2510.502400,3373.487600
355.089425,10904.994800,1804.423600,2353.596000
355.089730,10198.916000,3059.674800,2118.236400
355.090036,9963.556400,2196.689600,2510.502400
355.090341,10355.822400,1647.517200,2510.502400
355.090647,10434.275600,2196.689600,1490.610800
355.090953,10042.009600,2667.408800,1176.798000
355.091258,10198.916000,1961.330000,784.532000
355.091564,10042.009600,2196.689600,784.532000
355.091869,10042.009600,1961.330000,313.812800
355.092175,10042.009600,1804.423600,549.172400
355.092481,9885.103200,2118.236400,392.266000
355.092786,10591.182000,1490.610800,1255.251200
355.093092,10042.009600,784.532000,1412.157600
355.093398,10434.275600,1176.798000,1804.423600
355.093703,11061.901200,1176.798000,1804.423600
355.094009,9885.103200,1804.423600,1569.064000
355.094314,10512.728800,1412.157600,1647.517200
355.094620,10983.448000,2432.049200,862.985200
355.094926,9728.196800,1804.423600,784.532000
355.095231,10120.462800,2118.236400,392.266000
355.095537,10904.994800,392.266000,470.719200
355.095842,10042.009600,470.719200,862.985200
355.096148,9885.103200,392.266000,627.625600
355.096454,9728.196800,392.266000,862.985200
355.096759,9885.103200,627.625600,862.985200
355.097065,8943.664800,-313.812800,549.172400
355.097370,10591.182000,549.172400,1333.704400
355.097676,10904.994800,1333.704400,1333.704400
355.097982,9728.196800,1255.251200,784.532000
355.098287,9885.103200,2039.783200,706.078800
355.098593,10591.182000,1725.970400,1098.344800
355.098899,9728.196800,1412.157600,0.000000
355.099204,9963.556400,1176.798000,156.906400
355.099510,9963.556400,627.625600,392.266000
355.099815,9492.837200,78.453200,235.359600
355.100121,10277.369200,0.000000,1255.251200
355.100427,10042.009600,0.000000,784.532000
355.100732,9571.290400,627.625600,706.078800
355.101038,10120.462800,470.719200,627.625600
355.101343,10042.009600,627.625600,627.625600
355.101649,9728.196800,235.359600,470.719200
355.101955,9963.556400,706.078800,1176.798000
355.102260,9806.650000,1019.891600,549.172400
355.102566,10277.369200,784.532000,392.266000
355.102871,10120.462800,549.172400,156.906400
355.103177,9022.118000,706.078800,235.359600
355.103483,9335.930800,0.000000,235.359600
355.103788,10042.009600,0.000000,235.359600
355.104094,9963.556400,-235.359600,627.625600
355.104399,9571.290400,-470.719200,706.078800
355.104705,9963.556400,-313.812800,706.078800
355.105011,10434.275600,0.000000,392.266000
355.105316,10042.009600,392.266000,156.906400
355.105622,10042.009600,1098.344800,0.000000
355.105928,9414.384000,-627.625600,-156.906400
355.106233,11140.354400,0.000000,549.172400
355.106539,9885.103200,1333.704400,470.719200
355.106844,9649.743600,470.719200,-313.812800
355.107150,10512.728800,470.719200,-313.812800
355.107456,9806.650000,313.812800,-706.078800
355.107761,9179.024400,313.812800,-1490.610800
355.108067,8943.664800,941.438400,-706.078800
355.108372,10591.182000,-706.078800,-392.266000
355.108678,9806.650000,-549.172400,78.453200
355.108984,9885.103200,313.812800,784.532000
355.109289,9806.650000,235.359600,313.812800
355.109595,10983.448000,392.266000,1098.344800
355.109900,8472.945600,1882.876800,0.000000
355.110206,9179.024400,784.532000,313.812800
355.110512,9963.556400,0.000000,-235.359600
355.110817,9571.290400,706.078800,-784.532000
355.111123,9885.103200,-156.906400,-706.078800
355.111428,9885.103200,549.172400,-1019.891600
355.111734,9335.930800,-470.719200,-549.172400
355.112040,10512.728800,-549.172400,235.359600
355.112345,9806.650000,-470.719200,235.359600
355.112651,9414.384000,235.359600,313.812800
355.112957,9885.103200,1412.157600,392.266000
355.113262,9963.556400,1176.798000,-313.812800
355.113568,9649.743600,1412.157600,-862.985200
355.113873,9806.650000,1176.798000,-470.719200
355.114179,10042.009600,313.812800,-392.266000
355.114485,10198.916000,-235.359600,470.719200
355.114790,9806.650000,-470.719200,0.000000
355.115096,9963.556400,-706.078800,0.000000
355.115401,10120.462800,-392.266000,0.000000
355.115707,9963.556400,-470.719200,0.000000
355.116013,9885.103200,78.453200,0.000000
355.116318,10277.369200,470.719200,0.000000
355.116624,9728.196800,784.532000,-313.812800
355.116929,9885.103200,627.625600,0.000000
355.117235,10277.369200,78.453200,-313.812800
355.117541,10669.635200,78.453200,392.266000
355.117846,10198.916000,-156.906400,0.000000
355.118152,10042.009600,-470.719200,0.000000
355.118457,9728.196800,-784.532000,0.000000
355.118763,9963.556400,-941.438400,-313.812800
355.119069,9885.103200,-392.266000,78.453200
355.119374,9022.118000,0.000000,-470.719200
355.119680,10042.009600,0.000000,0.000000
355.119986,10120.462800,0.000000,0.000000
355.120291,10120.462800,0.000000,313.812800
355.120597,10042.009600,470.719200,0.000000
355.120902,10042.009600,156.906400,313.812800
355.121208,10042.009600,-392.266000,0.000000
355.121514,9649.743600,-156.906400,-549.172400
355.121819,10198.916000,-627.625600,-313.812800
355.122125,9885.103200,-627.625600,78.453200
355.122430,9885.103200,-470.719200,0.000000
355.122736,10198.916000,-862.985200,235.359600
355.123042,10042.009600,-470.719200,0.000000
355.123347,10277.369200,0.000000,-156.906400
355.123653,10042.009600,235.359600,0.000000
355.123958,9257.477600,1098.344800,156.906400
355.124264,10042.009600,235.359600,0.000000
355.124570,10198.916000,392.266000,0.000000
355.124875,9335.930800,0.000000,0.000000
355.125181,9963.556400,0.000000,-470.719200
355.125487,10277.369200,-78.453200,-392.266000
355.125792,9963.556400,-392.266000,0.000000
355.126098,10042.009600,-392.266000,0.000000
355.126403,9963.556400,0.000000,156.906400
355.126709,10512.728800,0.000000,0.000000
355.127015,9963.556400,78.453200,392.266000
355.127320,9649.743600,392.266000,235.359600
355.127626,10042.009600,392.266000,0.000000
355.127931,10042.009600,784.532000,0.000000
355.128237,9885.103200,392.266000,-156.906400
355.128543,10120.462800,549.172400,-313.812800
355.128848,9885.103200,-156.906400,-627.625600
355.129154,10042.009600,-313.812800,0.000000
355.129459,9885.103200,-235.359600,-235.359600
355.129765,9571.290400,-313.812800,-392.266000
355.130071,10434.275600,-235.359600,-470.719200
355.130376,9728.196800,0.000000,-392.266000
355.130682,9963.556400,0.000000,0.000000
355.130987,10120.462800,78.453200,235.359600
355.131293,9885.103200,235.359600,235.359600
355.131599,10120.462800,156.906400,862.985200
355.131904,9885.103200,392.266000,-78.453200
355.132210,10042.009600,0.000000,-470.719200
355.132516,9963.556400,235.359600,-549.172400
355.132821,9414.384000,-235.359600,-392.266000
355.133127,9571.290400,-313.812800,-549.172400
355.133432,10198.916000,-1019.891600,-313.812800
355.133738,9885.103200,-941.438400,0.000000
355.134044,10042.009600,-627.625600,0.000000
355.134349,10277.369200,-235.359600,0.000000
355.134655,10042.009600,0.000000,-313.812800
355.134960,10198.916000,156.906400,-156.906400
355.135266,9963.556400,156.906400,-470.719200
355.135572,9963.556400,78.453200,-470.719200
355.135877,10042.009600,-156.906400,-392.266000
355.136183,9963.556400,-549.172400,-313.812800
355.136488,10277.369200,-392.266000,-156.906400
355.136794,10277.369200,-941.438400,-235.359600
355.137100,10042.009600,-941.438400,0.000000
355.137405,5727.083600,-1804.423600,-1490.610800
355.137711,8629.852000,-549.172400,-941.438400
355.138016,11924.886400,-1019.891600,1255.251200
355.138322,9257.477600,0.000000,0.000000
355.138628,10355.822400,78.453200,-313.812800
355.138933,11218.807600,313.812800,0.000000
355.139239,9100.571200,0.000000,-313.812800
355.139545,9963.556400,0.000000,-549.172400
355.139850,10277.369200,0.000000,-1019.891600
355.140156,9492.837200,-156.906400,-392.266000
355.140461,10042.009600,-627.625600,-313.812800
355.140767,9492.837200,-549.172400,-313.812800
355.141073,9885.103200,-470.719200,-470.719200
355.141378,10277.369200,-313.812800,0.000000
355.141684,9257.477600,78.453200,-156.906400
355.141989,9728.196800,235.359600,0.000000
355.142295,10120.462800,549.172400,235.359600
355.142601,10355.822400,392.266000,78.453200
355.142906,9649.743600,235.359600,549.172400
355.143212,9571.290400,0.000000,313.812800
355.143517,10591.182000,549.172400,-1019.891600
355.143823,10042.009600,-549.172400,1098.344800
355.144129,9963.556400,-392.266000,235.359600
355.144434,10042.009600,-78.453200,-392.266000
355.144740,10120.462800,-470.719200,78.453200
355.145046,10042.009600,-627.625600,156.906400
355.145351,9963.556400,0.000000,78.453200
355.145657,10355.822400,0.000000,0.000000
355.145962,10355.822400,0.000000,0.000000
355.146268,10042.009600,78.453200,0.000000
355.146574,9649.743600,0.000000,0.000000
355.146879,9963.556400,0.000000,0.000000
355.147185,10198.916000,-392.266000,-156.906400
355.147490,9571.290400,470.719200,-392.266000
355.147796,10120.462800,0.000000,-470.719200
355.148102,9885.103200,-627.625600,-706.078800
355.148407,9806.650000,-470.719200,-627.625600
355.148713,9963.556400,-470.719200,-706.078800
355.149018,9963.556400,0.000000,78.453200
355.149324,9649.743600,78.453200,0.000000
355.149630,9963.556400,235.359600,156.906400
355.149935,9806.650000,392.266000,0.000000
355.150241,10434.275600,392.266000,-313.812800
355.150546,9806.650000,470.719200,-235.359600
355.150852,10277.369200,0.000000,-313.812800
355.151158,9885.103200,156.906400,-313.812800
355.151463,9806.650000,-235.359600,0.000000
355.151769,10120.462800,-235.359600,-156.906400
355.152075,9649.743600,-313.812800,0.000000
355.152380,10355.822400,-470.719200,-235.359600
355.152686,10042.009600,-549.172400,156.906400
355.152991,9728.196800,-470.719200,235.359600
355.153297,10434.275600,0.000000,235.359600
355.153603,10198.916000,313.812800,78.453200
355.153908,9885.103200,549.172400,78.453200
355.154214,10120.462800,313.812800,0.000000
355.154519,9806.650000,313.812800,-235.359600
355.154825,9885.103200,0.000000,-313.812800
355.155131,10042.009600,-235.359600,-627.625600
355.155436,9728.196800,-627.625600,-549.172400
355.155742,9728.196800,-392.266000,-235.359600
355.156047,10355.822400,0.000000,156.906400
355.156353,10277.369200,0.000000,392.266000
355.156659,10277.369200,-235.359600,706.078800
355.156964,10120.462800,313.812800,0.000000
355.157270,10512.728800,235.359600,392.266000
355.157575,10042.009600,470.719200,0.000000
355.157881,9963.556400,706.078800,392.266000
355.158187,10277.369200,0.000000,235.359600
355.158492,10042.009600,156.906400,0.000000
355.158798,9963.556400,0.000000,549.172400
355.159104,10120.462800,-470.719200,235.359600
355.159409,10277.369200,-156.906400,470.719200
355.159715,10198.916000,-313.812800,156.906400
355.160020,9963.556400,0.000000,78.453200
355.160326,10512.728800,392.266000,470.719200
355.160632,10512.728800,0.000000,706.078800
355.160937,10042.009600,549.172400,627.625600
355.161243,10277.369200,392.266000,0.000000
355.161548,9963.556400,0.000000,0.000000
355.161854,9100.571200,0.000000,0.000000
355.162160,9806.650000,-1255.251200,-627.625600
355.162465,9728.196800,-235.359600,0.000000
355.162771,9257.477600,-235.359600,0.000000
355.163076,10042.009600,-706.078800,235.359600
355.163382,9885.103200,0.000000,-862.985200
355.163688,10355.822400,235.359600,0.000000
355.163993,9806.650000,78.453200,-313.812800
355.164299,9649.743600,313.812800,0.000000
355.164605,10042.009600,0.000000,-235.359600
355.164910,9257.477600,-784.532000,0.000000
355.165216,9335.930800,0.000000,235.359600
355.165521,10826.541600,0.000000,0.000000
355.165827,9571.290400,-1019.891600,0.000000
355.166133,10198.916000,0.000000,627.625600
355.166438,10277.369200,392.266000,549.172400
355.166744,9492.837200,156.906400,78.453200
355.167049,10277.369200,78.453200,470.719200
355.167355,10277.369200,392.266000,0.000000
355.167661,9571.290400,78.453200,0.000000
355.167966,10277.369200,706.078800,-941.438400
355.168272,10042.009600,392.266000,0.000000
355.168577,9649.743600,0.000000,-313.812800
355.168883,10042.009600,156.906400,156.906400
355.169189,9806.650000,313.812800,156.906400
355.169494,9963.556400,156.906400,78.453200
355.169800,9963.556400,313.812800,-313.812800
355.170105,9806.650000,156.906400,0.000000
355.170411,9885.103200,78.453200,78.453200
355.170717,10042.009600,313.812800,0.000000
355.171022,9885.103200,156.906400,0.000000
355.171328,10277.369200,470.719200,-313.812800
355.171634,9963.556400,313.812800,78.453200
355.171939,10120.462800,0.000000,313.812800
355.172245,10042.009600,78.453200,549.172400
355.172550,9963.556400,392.266000,235.359600
355.172856,10042.009600,156.906400,549.172400
355.173162,10120.462800,627.625600,549.172400
355.173467,10748.088400,0.000000,392.266000
355.173773,9728.196800,1019.891600,78.453200
355.174078,10120.462800,784.532000,392.266000
355.174384,9885.103200,1019.891600,392.266000
355.174690,10042.009600,156.906400,156.906400
355.174995,9806.650000,0.000000,0.000000
355.175301,9806.650000,0.000000,0.000000
355.175606,10198.916000,0.000000,0.000000
355.175912,9492.837200,-392.266000,0.000000
355.176218,9963.556400,313.812800,-470.719200
355.176523,10277.369200,235.359600,-470.719200
355.176829,10042.009600,235.359600,-392.266000
355.177134,10748.088400,-313.812800,313.812800
355.177440,10042.009600,2118.236400,156.906400
355.177746,9100.571200,549.172400,0.000000
355.178051,10904.994800,235.359600,-313.812800
355.178357,10591.182000,0.000000,0.000000
355.178663,10198.916000,235.359600,0.000000
355.178968,11218.807600,0.000000,392.266000
355.179274,10042.009600,470.719200,0.000000
355.179579,10042.009600,235.359600,-156.906400
355.179885,9885.103200,-392.266000,156.906400
355.180191,9728.196800,313.812800,-392.266000
355.180496,9335.930800,235.359600,0.000000
355.180802,10042.009600,-78.453200,-392.266000
355.181107,9885.103200,470.719200,0.000000
355.181413,9414.384000,78.453200,-235.359600
355.181719,9492.837200,549.172400,-235.359600
355.182024,9963.556400,0.000000,-313.812800
355.182330,9885.103200,-470.719200,0.000000
355.182635,9492.837200,0.000000,0.000000
355.182941,10120.462800,-156.906400,235.359600
355.183247,9963.556400,235.359600,0.000000
355.183552,10042.009600,78.453200,0.000000
355.183858,10512.728800,941.438400,156.906400
355.184164,10042.009600,627.625600,78.453200
355.184469,10198.916000,313.812800,0.000000
355.184775,10748.088400,470.719200,235.359600
355.185080,10120.462800,470.719200,156.906400
355.185386,10904.994800,313.812800,0.000000
355.185692,10512.728800,627.625600,549.172400
355.185997,10042.009600,78.453200,392.266000
355.186303,10512.728800,470.719200,0.000000
355.186608,10120.462800,156.906400,235.359600
355.186914,9728.196800,0.000000,-313.812800
355.187220,9414.384000,156.906400,78.453200
355.187525,10042.009600,-392.266000,0.000000
355.187831,9492.837200,0.000000,0.000000
355.188136,9806.650000,0.000000,0.000000
355.188442,9492.837200,-470.719200,156.906400
355.188748,9492.837200,0.000000,235.359600
355.189053,10042.009600,-156.906400,0.000000
355.189359,9492.837200,0.000000,0.000000
355.189664,9963.556400,0.000000,0.000000
355.189970,9728.196800,0.000000,78.453200
355.190276,9963.556400,0.000000,549.172400
355.190581,10042.009600,-78.453200,156.906400
355.190887,10042.009600,0.000000,0.000000
355.191193,10120.462800,-392.266000,78.453200
355.191498,10434.275600,-549.172400,0.000000
355.191804,9806.650000,0.000000,78.453200
355.192109,9335.930800,313.812800,-1176.798000
355.192415,10042.009600,-1019.891600,549.172400
355.192721,9963.556400,-313.812800,235.359600
355.193026,10355.822400,-470.719200,-156.906400
355.193332,9571.290400,0.000000,156.906400
355.193637,9335.930800,-313.812800,-156.906400
355.193943,9571.290400,0.000000,-549.172400
355.194249,10042.009600,0.000000,-313.812800
355.194554,10042.009600,235.359600,-235.359600
355.194860,9728.196800,0.000000,-313.812800
355.195165,9728.196800,0.000000,0.000000
355.195471,9963.556400,-235.359600,235.359600
355.195777,9885.103200,0.000000,-156.906400
355.196082,9414.384000,156.906400,-313.812800
355.196388,9806.650000,-78.453200,235.359600
355.196693,9963.556400,-392.266000,313.812800
355.196999,9885.103200,-1255.251200,-235.359600
355.197305,9963.556400,-235.359600,0.000000
355.197610,8708.305200,-392.266000,-78.453200
355.197916,9963.556400,-1176.798000,-235.359600
355.198222,9492.837200,-78.453200,-235.359600
355.198527,9885.103200,-156.906400,862.985200
355.198833,10904.994800,-549.172400,0.000000
355.199138,9257.477600,156.906400,-392.266000
355.199444,10120.462800,0.000000,-784.532000
