##drops=0,overflows=0,time_per_sample=0.000305623,start_range=0.000066,end_range=0.000036
#time,accel_x,accel_y,accel_z
349.273648,9885.103200,392.266000,0.000000
349.273953,10277.369200,4079.566400,156.906400
349.274259,10120.462800,3608.847200,156.906400
349.274565,10042.009600,3216.581200,392.266000
349.274870,10120.462800,2902.768400,313.812800
349.275176,9963.556400,3216.581200,549.172400
349.275482,10042.009600,2824.315200,78.453200
349.275787,9885.103200,2902.768400,0.000000
349.276093,10042.009600,3530.394000,0.000000
349.276398,10198.916000,3295.034400,-156.906400
349.276704,10042.009600,3844.206800,0.000000
349.277010,10748.088400,4001.113200,78.453200
349.277315,10277.369200,4001.113200,0.000000
349.277621,10277.369200,4079.566400,313.812800
349.277927,10042.009600,3844.206800,78.453200
349.278232,9963.556400,3844.206800,0.000000
349.278538,10042.009600,3216.581200,78.453200
349.278843,10042.009600,3216.581200,235.359600
349.279149,9806.650000,3530.394000,235.359600
349.279455,9963.556400,3608.847200,-156.906400
349.279760,10277.369200,4001.113200,0.000000
349.280066,10042.009600,3922.660000,0.000000
349.280372,10512.728800,3451.940800,0.000000
349.280677,10120.462800,3608.847200,313.812800
349.280983,10042.009600,3373.487600,549.172400
349.281288,10120.462800,3530.394000,0.000000
349.281594,9963.556400,3844.206800,156.906400
349.281900,10042.009600,3922.660000,0.000000
349.282205,10042.009600,3922.660000,0.000000
349.282511,9963.556400,4001.113200,78.453200
349.282817,9806.650000,4001.113200,235.359600
349.283122,10120.462800,3922.660000,549.172400
349.283428,9649.743600,4550.285600,706.078800
349.283733,10042.009600,3608.847200,235.359600
349.284039,10042.009600,3765.753600,78.453200
349.284345,10042.009600,4236.472800,0.000000
349.284650,9885.103200,4079.566400,0.000000
349.284956,10355.822400,4314.926000,0.000000
349.285261,9100.571200,4314.926000,0.000000
349.285567,9885.103200,2824.315200,-235.359600
349.285873,10120.462800,3216.581200,0.000000
349.286178,9571.290400,3295.034400,78.453200
349.286484,10042.009600,3295.034400,392.266000
349.286790,10355.822400,3687.300400,392.266000
349.287095,10277.369200,3295.034400,235.359600
349.287401,10355.822400,3295.034400,313.812800
349.287706,10120.462800,3608.847200,156.906400
349.288012,10042.009600,3216.581200,0.000000
349.288318,10277.369200,3373.487600,-313.812800
349.288623,10042.009600,2902.768400,0.000000
349.288929,9728.196800,2902.768400,0.000000
349.289235,9414.384000,2667.408800,0.000000
349.289540,10042.009600,2510.502400,0.000000
349.289846,9885.103200,2824.315200,-235.359600
349.290151,10120.462800,2981.221600,0.000000
349.290457,10277.369200,2824.315200,156.906400
349.290763,10198.916000,2510.502400,235.359600
349.291068,10512.728800,2745.862000,470.719200
349.291374,10669.635200,2667.408800,470.719200
349.291680,10355.822400,2432.049200,784.532000
349.291985,10277.369200,2432.049200,235.359600
349.292291,10198.916000,1882.876800,156.906400
349.292596,9963.556400,1804.423600,78.453200
349.292902,10042.009600,2353.596000,0.000000
349.293208,10042.009600,1647.517200,0.000000
349.293513,10042.009600,1412.157600,0.000000
349.293819,10042.009600,2353.596000,-235.359600
349.294125,10120.462800,2118.236400,-313.812800
349.294430,10277.369200,2196.689600,235.359600
349.294736,10042.009600,1804.423600,313.812800
349.295041,10355.822400,1569.064000,235.359600
349.295347,10120.462800,1882.876800,392.266000
349.295653,10042.009600,1569.064000,313.812800
349.295958,10120.462800,2039.783200,392.266000
349.296264,10355.822400,1961.330000,1019.891600
349.296570,10042.009600,1098.344800,235.359600
349.296875,10120.462800,1647.517200,0.000000
349.297181,9963.556400,1412.157600,0.000000
349.297486,9885.103200,1412.157600,-470.719200
349.297792,9649.743600,1255.251200,0.000000
349.298098,9649.743600,1176.798000,-392.266000
349.298403,9649.743600,1176.798000,-313.812800
349.298709,9257.477600,784.532000,-156.906400
349.299014,9649.743600,706.078800,235.359600
349.299320,9492.837200,1019.891600,470.719200
349.299626,9885.103200,862.985200,627.625600
349.299931,9963.556400,1647.517200,549.172400
349.300237,10042.009600,1961.330000,392.266000
349.300543,9963.556400,1490.610800,78.453200
349.300848,9885.103200,1647.517200,0.000000
349.301154,10277.369200,941.438400,-235.359600
349.301459,10042.009600,706.078800,-156.906400
349.301765,9806.650000,1098.344800,-470.719200
349.302071,9257.477600,0.000000,-156.906400
349.302376,9963.556400,78.453200,0.000000
349.302682,10120.462800,392.266000,235.359600
349.302988,9806.650000,392.266000,1490.610800
349.303293,11532.620400,862.985200,1176.798000
349.303599,10198.916000,2039.783200,862.985200
349.303904,10434.275600,1490.610800,313.812800
349.304210,10042.009600,1961.330000,784.532000
349.304516,10277.369200,1098.344800,0.000000
349.304821,9885.103200,862.985200,0.000000
349.305127,10042.009600,549.172400,-470.719200
349.305433,9728.196800,313.812800,-1019.891600
349.305738,8943.664800,0.000000,0.000000
349.306044,9728.196800,0.000000,-470.719200
349.306349,9806.650000,0.000000,156.906400
349.306655,9728.196800,0.000000,627.625600
349.306961,9885.103200,235.359600,1019.891600
349.307266,9963.556400,784.532000,313.812800
349.307572,10434.275600,862.985200,470.719200
349.307878,9963.556400,1255.251200,235.359600
349.308183,10042.009600,1098.344800,-392.266000
349.308489,9963.556400,1176.798000,-549.172400
349.308794,9649.743600,156.906400,-392.266000
349.309100,9728.196800,-941.438400,-862.985200
