##drops=0,overflows=0,time_per_sample=0.000305580,start_range=0.000057,end_range=0.000029
#time,accel_x,accel_y,accel_z
366.119174,10042.009600,0.000000,0.000000
366.119480,9963.556400,0.000000,-627.625600
366.119785,10042.009600,156.906400,549.172400
366.120091,10591.182000,-706.078800,0.000000
366.120396,9963.556400,862.985200,0.000000
366.120702,9963.556400,0.000000,862.985200
366.121008,11218.807600,-156.906400,1098.344800
366.121313,10120.462800,313.812800,941.438400
366.121619,10042.009600,392.266000,941.438400
366.121924,10042.009600,784.532000,1490.610800
366.122230,10277.369200,941.438400,1647.517200
366.122536,10355.822400,941.438400,1882.876800
366.122841,10198.916000,1176.798000,2510.502400
366.123147,10042.009600,1333.704400,2510.502400
366.123452,10042.009600,1569.064000,2432.049200
366.123758,10042.009600,1490.610800,2510.502400
366.124063,9649.743600,1725.970400,2196.689600
366.124369,10042.009600,1255.251200,2510.502400
366.124675,9806.650000,1647.517200,2902.768400
366.124980,10198.916000,1490.610800,3922.660000
366.125286,10042.009600,1882.876800,4628.738800
366.125591,10198.916000,2510.502400,5021.004800
366.125897,10042.009600,3295.034400,4471.832400
366.126203,10277.369200,3530.394000,5021.004800
366.126508,10120.462800,3844.206800,4628.738800
366.126814,10042.009600,3687.300400,4707.192000
366.127119,9806.650000,3765.753600,5021.004800
366.127425,9335.930800,3765.753600,5021.004800
366.127730,9806.650000,3059.674800,5883.990000
366.128036,9885.103200,2981.221600,6511.615600
366.128342,10042.009600,3451.940800,7060.788000
366.128647,10042.009600,3765.753600,7139.241200
366.128953,10512.728800,4707.192000,7453.054000
366.129258,10042.009600,5491.724000,6746.975200
366.129564,10198.916000,5727.083600,6511.615600
366.129869,10042.009600,5805.536800,6354.709200
366.130175,10120.462800,5491.724000,6590.068800
366.130481,10277.369200,4942.551600,6746.975200
366.130786,10120.462800,4628.738800,7453.054000
366.131092,10120.462800,4864.098400,8080.679600
366.131397,10434.275600,4785.645200,8159.132800
366.131703,10355.822400,5177.911200,7845.320000
366.132009,10120.462800,6119.349600,7531.507200
366.132314,9963.556400,7609.960400,7217.694400
366.132620,10042.009600,7374.600800,6825.428400
366.132925,10120.462800,7060.788000,6746.975200
366.133231,9885.103200,6982.334800,6668.522000
366.133536,10042.009600,6197.802800,7217.694400
366.133842,10591.182000,6119.349600,7531.507200
366.134148,10591.182000,6276.256000,7845.320000
366.134453,10355.822400,6119.349600,7531.507200
366.134759,10434.275600,6668.522000,6746.975200
366.135064,10591.182000,7609.960400,5962.443200
366.135370,9649.743600,7609.960400,4785.645200
366.135675,9414.384000,7374.600800,4393.379200
366.135981,8786.758400,6982.334800,3530.394000
366.136287,9963.556400,5962.443200,4707.192000
366.136592,9885.103200,4942.551600,4471.832400
366.136898,10904.994800,5021.004800,4942.551600
366.137203,10198.916000,4158.019600,4001.113200
366.137509,10591.182000,5021.004800,3765.753600
366.137815,10904.994800,5021.004800,3451.940800
366.138120,10355.822400,5648.630400,3373.487600
366.138426,10669.635200,6511.615600,2510.502400
366.138731,10748.088400,5648.630400,2510.502400
366.139037,10826.541600,4628.738800,2275.142800
366.139342,10042.009600,4707.192000,2039.783200
366.139648,9022.118000,4471.832400,1019.891600
366.139954,10591.182000,2824.315200,1098.344800
366.140259,11061.901200,2510.502400,1255.251200
366.140565,10198.916000,2275.142800,784.532000
366.140870,10355.822400,2745.862000,784.532000
366.141176,10748.088400,3373.487600,392.266000
366.141481,10904.994800,4001.113200,470.719200
