##drops=0,overflows=0,time_per_sample=0.000305611,start_range=0.000056,end_range=0.000037
#time,accel_x,accel_y,accel_z
360.377367,9963.556400,0.000000,156.906400
360.377672,9963.556400,0.000000,0.000000
360.377978,10120.462800,78.453200,0.000000
360.378283,10042.009600,0.000000,0.000000
360.378589,10042.009600,0.000000,0.000000
360.378895,9963.556400,78.453200,0.000000
360.379200,9728.196800,784.532000,0.000000
360.379506,9806.650000,470.719200,-313.812800
360.379812,10042.009600,941.438400,-235.359600
360.380117,9885.103200,1569.064000,0.000000
360.380423,9885.103200,1961.330000,0.000000
360.380728,10042.009600,2510.502400,627.625600
360.381034,10355.822400,2510.502400,235.359600
360.381340,9963.556400,2510.502400,156.906400
360.381645,9885.103200,2510.502400,392.266000
360.381951,9806.650000,2432.049200,156.906400
360.382256,9885.103200,2353.596000,0.000000
360.382562,9885.103200,2118.236400,-235.359600
360.382868,9806.650000,2588.955600,0.000000
360.383173,9885.103200,3216.581200,0.000000
360.383479,9885.103200,3687.300400,-392.266000
360.383784,10042.009600,4471.832400,0.000000
360.384090,10591.182000,4864.098400,313.812800
360.384396,10042.009600,5491.724000,627.625600
360.384701,10042.009600,5256.364400,470.719200
360.385007,9963.556400,5256.364400,784.532000
360.385313,9806.650000,4942.551600,470.719200
360.385618,9100.571200,4864.098400,470.719200
360.385924,9571.290400,4707.192000,235.359600
360.386229,9414.384000,5099.458000,235.359600
360.386535,9728.196800,5334.817600,156.906400
360.386841,9806.650000,6276.256000,156.906400
360.387146,10512.728800,7139.241200,862.985200
360.387452,9806.650000,6825.428400,313.812800
360.387757,10277.369200,6982.334800,549.172400
360.388063,11140.354400,8316.039200,0.000000
360.388369,9335.930800,7766.866800,0.000000
360.388674,10042.009600,7296.147600,235.359600
360.388980,9885.103200,7217.694400,0.000000
360.389285,9492.837200,6903.881600,0.000000
360.389591,9414.384000,7609.960400,-392.266000
360.389897,9492.837200,7766.866800,0.000000
360.390202,9963.556400,8394.492400,0.000000
360.390508,10120.462800,9649.743600,0.000000
360.390814,10748.088400,9885.103200,627.625600
360.391119,10904.994800,10120.462800,784.532000
360.391425,10983.448000,10591.182000,862.985200
360.391730,10669.635200,10042.009600,549.172400
360.392036,10591.182000,10591.182000,706.078800
360.392342,10355.822400,9728.196800,549.172400
360.392647,10277.369200,9257.477600,235.359600
360.392953,9728.196800,9335.930800,235.359600
360.393258,10198.916000,9885.103200,0.000000
360.393564,10277.369200,10512.728800,78.453200
360.393870,10120.462800,10669.635200,392.266000
360.394175,10669.635200,9963.556400,706.078800
360.394481,11140.354400,10042.009600,1098.344800
360.394786,10983.448000,10512.728800,941.438400
360.395092,10591.182000,10355.822400,1098.344800
360.395398,10591.182000,10277.369200,627.625600
360.395703,8629.852000,7923.773200,235.359600
360.396009,11140.354400,8080.679600,78.453200
360.396315,10120.462800,8080.679600,-392.266000
360.396620,9492.837200,7296.147600,-392.266000
360.396926,9649.743600,8708.305200,-235.359600
360.397231,10120.462800,7453.054000,-235.359600
360.397537,11061.901200,7453.054000,235.359600
360.397843,10042.009600,9100.571200,706.078800
360.398148,11532.620400,9022.118000,706.078800
360.398454,10355.822400,7845.320000,392.266000
360.398759,11767.980000,7217.694400,862.985200
360.399065,10355.822400,7139.241200,470.719200
360.399371,10198.916000,6511.615600,156.906400
360.399676,9885.103200,6040.896400,706.078800
360.399982,9806.650000,5570.177200,0.000000
360.400287,10748.088400,4001.113200,235.359600
360.400593,10748.088400,4236.472800,78.453200
360.400899,10591.182000,5491.724000,235.359600
360.401204,10434.275600,4785.645200,0.000000
360.401510,11532.620400,5648.630400,470.719200
360.401815,11218.807600,4550.285600,470.719200
360.402121,11140.354400,4393.379200,549.172400
360.402427,10042.009600,4393.379200,470.719200
360.402732,10277.369200,2902.768400,235.359600
360.403038,9492.837200,1882.876800,0.000000
360.403344,9806.650000,1176.798000,-235.359600
360.403649,9571.290400,862.985200,-392.266000
360.403955,9414.384000,1019.891600,0.000000
360.404260,10042.009600,1490.610800,-313.812800
360.404566,9649.743600,1569.064000,-706.078800
360.404872,10120.462800,1882.876800,-392.266000
360.405177,9885.103200,1647.517200,-235.359600
360.405483,9806.650000,1490.610800,-313.812800
360.405788,9963.556400,0.000000,-392.266000
360.406094,9649.743600,706.078800,549.172400
360.406400,9885.103200,-156.906400,862.985200
360.406705,9963.556400,-2196.689600,156.906400
360.407011,10120.462800,-706.078800,-156.906400
360.407316,9885.103200,-1098.344800,0.000000
360.407622,10042.009600,-1176.798000,0.000000
360.407928,11061.901200,-784.532000,-392.266000
360.408233,10042.009600,-1647.517200,-156.906400
360.408539,10198.916000,-1569.064000,-235.359600
360.408845,10591.182000,-1019.891600,78.453200
360.409150,10434.275600,-784.532000,-392.266000
360.409456,10120.462800,-2196.689600,0.000000
360.409761,10120.462800,-2745.862000,0.000000
360.410067,10042.009600,-2824.315200,-313.812800
360.410373,9728.196800,-3844.206800,-313.812800
360.410678,9414.384000,-3765.753600,0.000000
360.410984,9806.650000,-4158.019600,-470.719200
360.411289,9571.290400,-4550.285600,-313.812800
360.411595,9885.103200,-4471.832400,0.000000
360.411901,9806.650000,-4550.285600,-313.812800
